Data_Table_Metadata,,,,,,,,,,,,,,,,,,,,,,,
File name,Salmon_Restoration_Project_Database.xlsx,,,,,,,,,,,,,,,,,,,,,,
Case sensitive?,Yes,,,,,,,,,,,,,,,,,,,,,,
Number of records,46,,,,,,,,,,,,,,,,,,,,,,
Orientation,The data are arranged with major attributes in columns.,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Data table structure and attribute description,,,,,,,,,,,,,,,,,,,,,,,
Attribute name,Type,Definition,Unit,Usage,,,,,,,,,,,,,,,,,,,
Project_ID_#,Numeric,Unique number code given to project to diferentiate from other projects,,,,,,,,,,,,,,,,,,,,,
Name_of_Project,Multiple Values,Name given to the specific project taken from project reports,,,,,,,,,,,,,,,,,,,,,
Latitude,Numeric,Lattitude coordinates provided in decimal degrees.,,,,,,,,,,,,,,,,,,,,,
Longitude,Numeric,Longitude coordinates provided in Decimal degrees,,,,,,,,,,,,,,,,,,,,,
Data_Source,Multiple Values,Description of where information from which information about the restoration project was gathered,,,,,,,,,,,,,,,,,,,,,
Watershed/Stream,Multiple Values,Name of the Watershed and stream where the restoration took or is taking place/,,,,,,,,,,,,,,,,,,,,,
Start_Date,Numeric,The year the restoration project was implemented,,,,,,,,,,,,,,,,,,,,,
End_Date,Numeric,The year the project implementation was finished. Does not include monitoring time - monitoring is addressed in a different column,,,,,,,,,,,,,,,,,,,,,
Lead_Organizations,Multiple Values,Name of organization/group that initiated the project,,,,,,,,,,,,,,,,,,,,,
Partner_Organizations,Multiple Values,Name of organizations or persons that collaborated on the project,,,,,,,,,,,,,,,,,,,,,
Total_Cost,Numeric,Information related to the dollar amount spent in carrying out the project,,,,,,,,,,,,,,,,,,,,,
Funding_Source,Multiple Values,Information of funding streams and where the funding came from,,,,,,,,,,,,,,,,,,,,,
Logging_Data,Multiple Values,Historical data related to the logging that has happened in the various project sites,,,,,,,,,,,,,,,,,,,,,
Type_of_Watershed_Degradation,Multiple Values,Damage created by historical loggin practices,,,,,,,,,,,,,,,,,,,,,
Ecosystem_Type,Multiple Values,Defined biogeoclimatic (BEC) zone classification,,,,,,,,,,,,,,,,,,,,,
Land_Owners,Multiple Values,Who holds the lease of the land or control its ownership,,,,,,,,,,,,,,,,,,,,,
Target_Species,Multiple Values,Which species are the treatments trying to support,,,,,,,,,,,,,,,,,,,,,
Restoration_Goals,Multiple Values,Description of restoeration goal and desired end results of restoration work,,,,,,,,,,,,,,,,,,,,,
On_land_Restoration_Methods,Multiple Values,Restoration methods implemented to prevent the delivery of eroded sediment to stream systems as well as restore beneficiary ecological features to the boundaries between the aquatic and terrestrial areas,,,,,,,,,,,,,,,,,,,,,
In-Stream_Restoration_Methods,Multiple Values,"Restoration methods implemented to change the fluvial geomorphology, hydraulics, hydrology, and aquatic biologic attributes of a stream",,,,,,,,,,,,,,,,,,,,,
Monitoring_Data,Multiple Values,Description of the type of monitoring applied,,,,,,,,,,,,,,,,,,,,,
Map_Reference_#,Numeric,This attribute allos the reader to find a map referenced categorized by a numeral,,,,,,,,,,,,,,,,,,,,,
Output_Estimates,Multiple Values,Numerical end results of the restoration project,,,,,,,,,,,,,,,,,,,,,
Past_Work,Multiple Values,Highlights the past restoration work done in the watershed/ stream,,,,,,,,,,,,,,,,,,,,,
Future_Proposed_work,Multiple Values,Discuss work that may follow the work that has been done in the stream,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
