Project_ID_#,Name_of_Project,Latitude,Longitude,Data_Source,Watershed/Stream,Start_Date,End_Date,Lead_Organizations,Partner_Organizations,Total_Cost,Funding_Source,Logging_Data,Type_of_Watershed_Degradation,Ecosystem_Type,Land_Owners,Target_Species,Restoration_Goals,On_Land_Restoration_Methods,In_Stream_Restoration_Methods,Monitoring_Data,Map_Reference_#,Output_Estimates,Past_Work,Future_Proposed_work
001,Kennedy Flats Restoration,49.06125,-125.62275,Project Report: https://drive.google.com/file/d/170j_b3HlHhZmSSxx2g06x_8bqCZjX7Ax/view?usp=sharing,"Kenedy/ Kootowis, Hospital, Sandhill, Staghorn, Trestle South, Trestle, Indian/Harold, Lost Shoe, and Salmon. ",2005,Ongoing,"Central Westcoast Forest Society, Pacific Rim National Park Reserve","Alberni Clayoquot Regional District, Interfor, Municipality of Tofino, Municipality of Ucluelet, Tofino Business Association, Ucluelet Chamber of Commerce, Ahousaht First Nations, Hesquiat First Nations, Tla-o-qui-aht First Nations, Ucluelet First Nations, Aquaculture Association, & Tofino Stream Keepers",,,"Most of the logging in the Kennedy Flats area occurred during the 1950’s and 1960’s, with some additional logging in the 1970’s and 1980’s. ","Decaying logging roads with collapsed culverts and bridges, coupled with cross spanning logging debris and residual shake spall from the salvage loggers has resulted in severely degraded fish habitat. Vast areas of the Kennedy Flats streams are literally plugged with woody debris affecting fish passage (creating barriers in many cases), water quality, and hydrology. The high concentration of woody debris areas act as semi-permeable dams, flooding large tracts of forest land. The water quality is especially poor during the summer months as the floodplain creates increased surface area for solar radiation, resulting in increased water temperature to near critical levels and lowers dissolved oxygen content. The floodplains create a poor growing site for conifer tree species, resulting in poor cover and further exacerbating the water quality problem. Slower water flow has failed to keep spawning beds clean of settled organics, making quality spawning sites the most limiting factor for fish production. Ironically, the clustered woody debris segments of the Kennedy Flats streams have resulted in the interception of natural Large Woody Debris (LWD) recruitment, causing many segments of creeks between the debris clusters to be
LWD deficient, resulting in lengthy sections of stream without needed complexing.", CWH biogeoclimatic (BEC) zone,"Kennedy Flats includes the traditional territory of the Tla-o-qui-aht, and Ucluelet First Nations.  Tenure includes Parks Canada (PC), BC Parks (BCP), Tree Farm License 54 held by Interfor (INT), Tree Farm License 44 held by IISAAK (IIS), the Regional District landfill site, and some small patches of private land owned primarily by Interfor and Weyerhaeuser.","Coho Salmon (Oncorhynchus kisutch),  Chum Salmon (Oncorhynchus keta), Chinook Salmon (Oncorhynchus tshawytscha), Pink Salmon (Oncorhynchus gorbuscha), and Sockeye Salmon (Oncorhynchus nerka), Steelhead Trout (Oncorhynchus mykiss), Resident and sea-run Cutthroat Trout (Oncorhynchus clarkii clarkii), Rainbow Trout (Oncorhynchus mykiss). Lamprey, Stickleback, and Sculpin.","- Address unstable logging roads
- Re-establish natural steam flow patterns ","• Road deactivation: Deactivation of the highest risk roads are completed first, working consecutively towards, but not necessarily including, the lower risk roads. 
• Landslide Revegetation via bio-engineering, using live willow cuttings to hand build living, self-maintaining, retaining walls. Live Gully Breaks (LGB),  Modified Brush Layer (MBL), Live Pole Drain (LPD) 
• Open slope failures are hydro-seeded with a mixture of grass seed (native seed when available), slow release fertilizer, and mulch. 
• Strong focus on developing a new, uneven aged coniferous riparian zone.
","• Creation of pools, riffles and glides by installing structures in-stream made of LWD and/or rock.
• Removal of SWD and re-orientation of existing LWD
• Maintenance, monitoring and addition of LWD in deficient areas
• Addition of spawning gravel in deficient areas",There are annual reports from 2005 until now,001_CWFS_Kennedy,,,
002,Upper Kennedy River Side Channel and Stump Creek Side Channel,49.177566,-125.396895,Project Report: https://drive.google.com/file/d/14CDH7OzIbWmBmmB3r9k5MZcTCRri2h_g/view?usp=sharing,"Upper kennedy/ Kenedy River
Stump Creek/ Kennedy River",1999,2000,Northwest Ecosystem Institute,"Tla-o-qui-aht First Nation, Fisheries and Oceans Canada, MacMillan Bloedel Ltd., Central Westcoast Forest Society, Thornton Creek Enhancement Society","$89,957",,Extensive logging in the upper Kennedy River watershed has led to severe deterioration of salmon spawning and rearing habitats in both the upper Kennedy River side channel and the Stump Creek side channel.,"In the upper Kennedy side channel, aggraded sediments have reduced habitat conditions to the point where little or no water flow exists.
In the Stump Creek side channel, degraded substrate has created paved conditions across much of the 650 m channel length. This side channel experiences peak flood conditions (1:50) where discharge reaches 250 m3.",Coastal Western Hemlock biogeoclimatic (BEC) zone,,"Chum Salmon (Oncorhynchus keta), Coho Salmon (Oncorhynchus kisutch),  Chinook Salmon (Oncorhynchus tshawytscha), and Steelhead Trout (Oncorhynchus mykiss),sockeye (O.nerka),  and pink (O. gorbuscha) salmon; Cutthroat Trout (Oncorhynchus clarkii clarkii), Rainbow Trout (Oncorhynchus mykiss), and Dolly Varden char (Salvelinus malma).","Restoration activities on the upper Kennedy side channel included channel complexing with single and multiple LWD structures, bank stabilization, rock/ riffle construction, revegetation, intake control and water system testing and site cleanup.
Restoration activities on the Stump Creek side channel included construction of a single multiple LWD structure to support scour in an accompanying excavated pool.",• Banks revegetated on the Upper Kenedy side channel with seeding and conifer and willow (Salix spp.) plantings.,"Upper Kennedy Side Channel
• Complexing with the addition of > 200 LWD positioned (in some cases cabled together) instream and on banks as multiple structures or as single deflectors.
• 12 rock/riffle structures to support upstream pools and downstream riffles.
• 10 boulder placements in the channel for cover.
• 7 banks stabilized with rip-rap.

Stump Creek Side Channel
• Excavation of a 15 m x 7 m x 2.5 m pool.
• Placement of excavated boulder material on right bank.
• Construction of a cabled 8 piece multiple LWD structure with 6 rocks cabled for ballast.","Surface water flow was opened into the upper Kennedy side channel on September 17th, 1997. Northwest Ecosystem Institute, and Fisheries and Oceans Canada supported monitoring to the channel during 1997 and again a portion in 1998/99. In the upper Kennedy side channel approximately 1250 m of channel was actively restored to functional salmon habitat and an additional 2000mof wetted channel was created by continuous surface flow opened from the upper channel.",,,"During 1997, the upper 1250 m of the side channel was excavated to grade and an intake control structure was installed to support controlled flows from the Upper Kennedy River.  Flood protection was constructed in 1997, in the form of set-back dykes.","Monitoring and limited maintenance activities were scheduled for 1999 and included:
• Data logger download and maintenance;
• Monitoring of bank stability and bank revegetation success;
• Monitoring and maintenance of LWD structures and rock riffles; and
• Monitoring juvenile and adult salmon habitat use."
004,Conference Creeks,49.040806,-125.511944,Project Report: https://drive.google.com/file/d/1zQ6OzTK9jSs5TRi-NYeFUA1kKxhNYqZK/view?usp=sharing,Kennedy Flats Watershed/ Conference Creek ,2015,2015,Central Westcoast Forest Society,Ministry of Transportation and Infrastructure,,,,"Water channels which would have once had productive aquatic ecosystems are no longer accessible due to hung or collapsed culverts and many creeks within the area have been rerouted, dewatered, or replaced with featureless ditches. In other cases streams have become the recipient of an increase in flow, overwhelming the channel and leading to flooding in the surrounding area.
", Coastal Western Hemlock biogeoclimatic (BEC) zone,"Tla-o-qui-aht First Nation traditional territory, Haa’uukmin Tribal Park, Kennedy Lake Provincial Park, and within Iisaak Forest Resources TFL 57","Coho Salmon (Oncorhynchus kisutch),  Cutthroat Trout (Oncorhynchus clarkii clarkii), and Sockeye Salmon (Oncorhynchus nerka)","Restore ecological integrity and habitat connectivity, improving wildlife habitat, and helping rebuild wild salmon and trout populations.","• 125 trees and 105 shrubs were planted on the access trail and along stream banks 
• Shrubs, herbs and trees were added to the new channels created
• 240m of logging road was deactivated","• Two undersized, collapsed and hung culverts were replaced with a with one concrete box culvert
• Three large refuge pools were constructed to increase pool frequency and improve overwinter habitat for juvenile fish
• 7 pieces of LWD were added to the pools to further increase hiding areas for juveniles
• two new channels were created upstream and downstream","Water temperature and dissolved oxygen concentrations were monitored and recorded throughout the duration of the stream restoration project
",,,,
005,Ah'ta'apq Creek,49.380556,-126.271361,Website: https://clayoquot.org/ahtaapq-creek,Ah'ta'apq/ Ah'ta'apq Creek,Early 2000's,Ongoing,Central Westcoast Forest Society,"Hesquiaht First Nation and Ahousaht First Nation with support from the Department of Fisheries and Oceans, the Pacific Salmon Foundation and the Clayoquot Biosphere Trust and BGC Engineering.",,"TD Friends of the Environment Foundation, Coca-Cola foundation, Patagonia, World Wildlife Fund, Tree Canada ",Intensive industrial logging has occurred in this area since the 1950’s ,"Logging activities have weakened the slopes surrounding the creek, causing persistent landslides. The accumulation of rock debris has buried the channel, resulting in the loss of habitat features,  subsurface flows, extensive bank erosion  and channel widening. Impacts of landslide activity have been compounded by timber harvest of the riparian surrounding Ah’ta’apq creek which has simplified the stream side forest, destabilized stream banks and halted the natural recruitment of large woody debris into  the system.", Coastal Western Hemlock biogeoclimatic (BEC) zone, Ahousaht First Nation's territory and is close in proximity to the Hesquiaht First Nation village at Hot Springs Cove.,"Chum Salmon (Oncorhynchus keta), Coho Salmon (Oncorhynchus kisutch),  Steelhead Trout (Oncorhynchus mykiss), Rainbow Trout (Oncorhynchus mykiss). coastal Cutthroat Trout (Oncorhynchus clarkii clarkii)",The Ah’ta’apq Creek Restoration Project was initiated to restore fish habitat and increase the health and productivity of these wild fish populations. ,"• Bioengineering techniques were used to stabilize active or high risk slides in the watersheds
• Thinning red alder and planting 2000+ native conifers along the bank of the lower river.","• Built a sediment catchment swamp to collect rock and debris as it moves downstream
• 15 log and boulder structures were built, designed to promote channelization and pool formation while decreasing bank erosion and providing cover habitat. ",,,,,
008,Tranquil Creek,49.256167,-125.658194,Website: https://clayoquot.org/tranquil,Tranquil/ Tranquil Creek,2016,Ongoing,Central Westcoast Forest Society,Tla‐o‐qui‐aht First Nation,,"Department of Fisheries and Oceans, Ocean Outfitters, the Clayoquot Biosphere Trust, and in-kind support from the Tofino Resort and Marina, Clayoquot Salmon Roundtable and the Nuu-chah-nulth Tribal Council.  ",Industrial scale logging began in Tranquil Creek watershed in the 1960s and lasted to the mid 1990’s.,"destabilized stream banks and loss of natural LWD recruitment. Upslope instability and resulting landslides caused by harvesting and road building practices in the upper watershed.  Channel instability, limited large woody debris, extensive bank erosion, lack of off channel habitat, limited cover overhead and in-stream, limited pool frequency, bedload movement, presence of fines in substrate composition",Coastal Western Hemlock biogeoclimatic (BEC) zone,located within the territory of the Tla‐o‐qui‐aht First Nation.,"Chinook Salmon (Oncorhynchus tshawytscha), Coho Salmon (Oncorhynchus kisutch), and Chum Salmon (Oncorhynchus keta), Pink Salmon (Oncorhynchus gorbuscha), Sockeye Salmon (Oncorhynchus nerka), and sea-run rainbow and coastal Cutthroat Trout (Oncorhynchus clarkii clarkii).",Aid in the recovery of local wild salmon populations. ,"• Native tree planting and live-willow staking will aid in bank stabilization and speed up natural forest recovery process.
• 30,000 alder,10,000 native conifers, 500 native shrubs planted","• Channel excavations and the construction of  engineering log jams, these works are designed to restore natural riffle/pool sequences, mitigate erosion and bed load movement while increasing habitat complexity. 
• Construction of “bar-top” jams to catch fine sediments, stabilize active gravel bars and promote vegetation growth.",,,"8 in-stream structures and 8 bar-top structures have been built along with 30,000 alder,10,000 native conifers, 500 native shrubs planted during the first phases of restoration. ",,
009,Hydro Hill Creek Watershed,49.111944,-125.430167,Website: https://clayoquot.org/hydro-hill-watershed,Hydro Hill Creek/ Hydro Hill Creek,,,Central Westcoast Forest Society,Tla‐o‐qui‐aht First Nation,,"Parks Canada, Environment Canada, Department of Fisheries and Oceans, Province of British Columbia, ",Industrial scale logging that took place in this area from 1950 to 1990,,Coastal Western Hemlock biogeoclimatic (BEC) zone,,"Coho Salmon (Oncorhynchus kisutch),  Cutthroat Trout (Oncorhynchus clarkii clarkii), Dolly Varden, and Rainbow Trout (Oncorhynchus mykiss).",,"• Restoring the recovery of old growth characteristics in second-growth forest
• Reduce stream bank erosion, increase infiltration, and improve water quality by planting for biodiversity, to create cover, shade, and refuge from predators.","Restoring flows and low water habitat
• Providing improved spawning and rearing habitat as well as mitigate fish mortalities due to proximity to the road
• Creating wetted habitat, and maintaining flows to secondary drainages","Escapement counts, monitor health and growth of indigenous tree / shrub species, minding woody debris placement",,,,
011,Nimpkish River,50.567361,-126.984306,Project Report: https://drive.google.com/file/d/1XAq_-zDav7yZHQn8VMUsoYRvJa7TwEm3/view?usp=sharing,Nimpkish River/ Nimpkish River,1997,Ongoing,The Nimpkish Resource Management Board,"Canadian Forest Products Limited (CFP), the 'Namgis First Nation, Gwani Hatchery, and the International Woodworkers of America (IWA)",,The Forest Investment Account (FIA) with additional funding provided by DFO and the Pacific Salmon Endowment Fund,,Channel widening as the result of fan and watershed harvesting ,Coastal Western Hemlock biogeoclimatic (BEC) zone,"Traditional territories of the 'Namgis First Nation, Canadian Forest Product’s Tree Farm License #37",,,"• Road and slope stabilisation and rehabilitation
• Road deactivation","• Lake and stream fertilisation 
• Bank stabilization:   installing LWD structures along the eroding section of bank – a long lateral log jam and a downstream LWD structure.
• Log jam removal
• stream channel and fish habitat restoration. ",,,,,
013,San Juan Watershed Restoration - Lower Hemmingsen River,48.624222,-124.24175,Project Report: https://drive.google.com/file/d/1Si9_N4_lNWNOGuUzY5PzoxXYB9y7eSdp/view?usp=sharing,Hemingsen Creek/ San Juan,1997,1997,Black Label Consulting,Madrone Consulting,"$543,412.00",,Logged between 1960 and 1975,,Coastal Western Hemlock biogeoclimatic (BEC) zone,,,"- Slope Stability
- Water management","• Revegetation using willows and alder where required
• Revegetation of disturbed soils with grass and legume seed mixes
• Prepare soils for successful crop tree reforestation","• Sediment and debris removal
• Mechanical Retrieval of Sidecast fills
• Removing all metal and wood drainage structures",,,,,
016,Elk Falls Rearing Channel,50.040611,-125.300306,Project Report: https://drive.google.com/file/d/1JU-WVAMBfFcJprmBoGdmnyTNMdsNszeA/view?usp=sharing,Campbell River/ Elk Falls,1999,2000,Campbell River Salmon Foundation,"International Forest Products, Fisheries and Oceans Canada, Northwest Hydraulic Consultants Ltd. R. Wong Consulting","$314,598","BCHydro: Bridge Coastal Fish and Wildlife Restoration Program & Campbell River Salmon Foundation. Department of Fisheries and Oceans, and BC Parks","Historical logging brought a Sawmill, log booming and a shipyard to this watershed",Industrial uses have lowered the river's fish productivity.,Coastal Western Hemlock biogeoclimatic (BEC) zone,,"Coho Salmon (Oncorhynchus kisutch), ",Create additional coho rearing habitat by connecting wetland to the mainstream,"• The banks of channel were seeded with grass, ocean spray, red alder, willow, red osier dogwood
• Weirs exposed soil seeded with grasses, salmon berries, alder, sitka spruce and red osier dogwood","• 260m of intake channel was constructed
• LWD was placed into channel and anchored in place
• 5 Newbury Style weirs were constructed",,,"- 0.8km of stream work
- 17000m2 of overwintering side channel habitat",,
020,Keogh River Riparian Restoration,50.669417,-127.352167,Watershed Restoration Project Report: https://drive.google.com/file/d/1CkK9gfNCxGq1xC4Z77sSHyMjz4TnZVwa/view?usp=sharing,Keogh River/ Keogh River,2000,2000,"Ministry of Environment, Lands and Parks, B.C Conservation Foundation, Kwakiutl First Nation and Quatsino FIrst Nation","Pat Slaney and Lloyd Burroughs, Western Forest Products Ltd, Port McNeill Division, V.A Poulin and E. Gagné, ","Phase 1: $137,800
Phase 2: $47,075",Watershed Restoration Program,Logging occurred in the 1970's,"- Mainstream lacking fish habitat complexity, particularly LWD
- Lacking off-channel habitats as overwintering refuges for stream-rearing salmonids",Coastal Western Hemlock biogeoclimatic (BEC) zone,Western Forest Products,"Coho Salmon (Oncorhynchus kisutch), and Dolly Varden char (Salvelinus malma).","- Replace fish habitat affected by past streambank forest harvesting
- Augment limiting off-channel (wetland) refuges for coho salmon and Dolly Varden char
-speeding recovery of forest attributes needed for fish habitat, water quality and channel stability","• Improve diameter growth and species composition of conifer and deciduous trees by thinning and brushing
• Advance conifer regeneration by removing alder overstory or managing for mixed wood
• Utilize standing conifers to create river structure 
• Reduce windthrow hazard of riparian trees by early spacing and thinning
• Modified a component of trees to use by birds bats and small mammals by topping pruning","57 fish habitat structures were installed in the lower river. structures included:
• 28 Boulder Clusters within rifles
• 20 lateral triangular LWD structures
• 6 boulder riffles
• 2 debris spurs
• 1 two -log deflector
• two ponds were excavated to create overwintering habitat",,,,Habitat complexity was restored in 1998,
